Date,Open,High,Low,Close,Adj Close,Volume
2016-11-16,78.410004,78.930000,77.410004,78.519997,69.268700,550900
2016-11-17,78.739998,78.870003,77.139999,77.320000,68.210091,543200
2016-11-18,77.070000,77.070000,76.279999,76.690002,67.654312,574300
2016-11-21,77.379997,77.980003,76.419998,77.889999,68.712929,614600
2016-11-22,78.540001,82.879997,78.279999,82.400002,72.691566,1272900
2016-11-23,81.930000,83.510002,81.639999,83.209999,73.406128,676500
2016-11-25,83.360001,83.559998,82.730003,83.309998,73.494347,250200
2016-11-28,83.120003,83.400002,81.680000,82.059998,72.391609,561900
2016-11-29,79.669998,82.440002,79.519997,81.660004,72.038757,637500
2016-11-30,82.529999,82.769997,80.589996,81.099998,71.544724,571900
2016-12-01,81.580002,81.959999,80.690002,81.529999,71.924065,522200
2016-12-02,81.279999,83.129997,81.019997,83.019997,73.238518,689500
2016-12-05,84.000000,85.889999,83.989998,85.709999,75.611572,564500
2016-12-06,85.000000,86.160004,83.620003,84.849998,74.852898,1048700
2016-12-07,85.489998,87.019997,84.959999,86.339996,76.167343,851000
2016-12-08,86.459999,87.580002,85.769997,86.290001,76.123238,506100
2016-12-09,86.519997,86.519997,84.440002,84.639999,74.667641,517300
2016-12-12,84.660004,85.279999,83.379997,83.449997,73.617844,410000
2016-12-13,84.070000,84.540001,82.320000,83.220001,73.414940,568600
2016-12-14,82.940002,84.559998,82.550003,82.550003,72.823891,476200
2016-12-15,81.220001,82.809998,80.879997,82.570000,72.841530,493300
2016-12-16,82.290001,83.519997,81.519997,81.779999,72.144600,859200
2016-12-19,81.290001,82.059998,80.480003,81.209999,71.641769,433900
2016-12-20,81.139999,82.720001,81.139999,82.440002,72.726845,347800
2016-12-21,82.430000,83.400002,81.650002,83.010002,73.229698,363500
2016-12-22,83.239998,83.820000,81.919998,82.139999,72.462212,485200
2016-12-23,81.930000,82.209999,81.150002,81.510002,71.906425,175000
2016-12-27,82.089996,82.849998,81.620003,82.239998,72.550415,170500
2016-12-28,82.669998,83.620003,80.639999,81.029999,71.482971,225800
2016-12-29,80.980003,81.300003,80.300003,80.750000,71.235962,174400
2016-12-30,81.089996,81.360001,79.489998,79.540001,70.168533,282900
2017-01-03,80.589996,81.800003,79.639999,80.410004,70.936035,269700
2017-01-04,80.459999,82.660004,80.220001,82.580002,72.850357,358100
2017-01-05,82.489998,83.970001,81.919998,82.269997,72.576874,350700
2017-01-06,81.879997,82.190002,80.290001,80.330002,70.865456,395900
2017-01-09,81.629997,81.779999,79.849998,79.849998,70.442001,515700
2017-01-10,81.709999,83.370003,80.849998,83.089996,73.300262,623700
2017-01-11,83.129997,83.930000,82.199997,82.650002,72.912132,378900
2017-01-12,82.190002,82.190002,80.209999,81.370003,71.782921,385500
2017-01-13,81.269997,82.339996,81.070000,81.349998,71.765259,305500
2017-01-17,81.349998,81.410004,79.970001,80.239998,70.786049,355800
2017-01-18,80.500000,82.110001,80.029999,81.879997,72.232819,418300
2017-01-19,81.040001,81.610001,79.260002,79.940002,70.521416,319900
2017-01-20,80.089996,80.699997,79.449997,80.089996,70.653702,306900
2017-01-23,80.360001,80.919998,78.930000,79.809998,70.406715,350300
2017-01-24,80.989998,81.570000,80.150002,81.190002,71.624146,541000
2017-01-25,80.959999,81.059998,79.290001,80.970001,71.430023,450500
2017-01-26,80.300003,81.930000,80.089996,81.750000,72.118149,653900
2017-01-27,81.849998,82.180000,81.129997,81.680000,72.056396,257000
2017-01-30,80.849998,80.849998,78.680000,80.500000,71.015411,461400
2017-01-31,80.510002,80.519997,78.330002,79.650002,70.265556,681400
2017-02-01,79.930000,80.959999,78.650002,79.779999,70.380241,635700
2017-02-02,80.070000,81.050003,79.540001,80.559998,71.068336,375200
2017-02-03,80.739998,81.760002,79.430000,81.570000,71.959351,461000
2017-02-06,81.769997,82.309998,81.370003,81.760002,72.126953,354200
2017-02-07,82.180000,82.970001,81.349998,81.550003,71.941704,407300
2017-02-08,81.349998,82.139999,80.720001,81.470001,71.871124,400200
2017-02-09,81.660004,83.660004,81.269997,83.599998,73.750175,483000
2017-02-10,84.309998,84.610001,83.389999,83.440002,73.609024,501200
